PERIODO;VALOR
2024T1;14,2
2023T4;13
2023T3;9,6
2023T2;12,2
2023T1;12,1
2022T4;10,4
2022T3;4
2022T2;7,3
2022T1;8,7
2021T4;11,9
2021T3;14,6
2021T2;13,3
2021T1;15,5
2020T4;15,9
2020T3;17,8
2020T2;25
2020T1;12
2019T4;7,7
2019T3;6,3
2019T2;10,7
2019T1;8,1
2018T4;6,8
2018T3;5,7
2018T2;4,9
2018T1;4,9
2017T4;5,8
2017T3;5,3
2017T2;6,3
2017T1;5,8
2016T4;6,3
2016T3;6,5
2016T2;7,9
2016T1;7,4
2015T4;6,9
2015T3;7,5
2015T2;7,1
2015T1;7,5
2014T4;8,2
2014T3;6,6
2014T2;4,6
2014T1;5,9
2013T4;6
2013T3;7,8
2013T2;8,7
2013T1;9,1
2012T4;4,9
2012T3;7,3
2012T2;6,2
2012T1;7,6
2011T4;9,3
2011T3;10,4
2011T2;10,7
2011T1;10,2
2010T4;8,1
2010T3;9,3
2010T2;9,9
2010T1;10,8
2009T4;11
2009T3;11,7
2009T2;12,1
2009T1;10,5
2008T4;11
2008T3;6,9
2008T2;6,5
2008T1;6,4
2007T4;6,5
2007T3;2,9
2007T2;5,5
2007T1;7,3
2006T4;6,4
2006T3;6,9
2006T2;7
2006T1;7,8
2005T4;7,9
2005T3;8,9
2005T2;9,1
2005T1;8,7
2004T4;9,5
2004T3;8,9
2004T2;9,3
2004T1;9,4
2003T4;10,7
2003T3;11
2003T2;10,8
2003T1;11,3
2002T4;10
2002T3;9,6
2002T2;10,3
2002T1;9,5
2001T4;9,8
2001T3;10,7
2001T2;10,1
2001T1;9,5
2000T4;10,1
2000T3;10,7
2000T2;10,1
2000T1;9,5
1999T4;9,7
1999T3;9,3
1999T2;9,5
1999T1;9,9
