PERIODO;VALOR
2024T4;0,963
2024T3;1,2121
2024T2;1,0932
2024T1;0,4101
2023T4;0,1639
2023T3;0,8227
2023T2;0,7044
2023T1;1,2306
2022T4;-1,4586
2022T3;0,4271
2022T2;1,4665
2022T1;1,1436
2021T4;1,6209
2021T3;1,6255
2021T2;2,8977
2021T1;-0,0508
2020T4;0,8087
2020T3;21,3081
2020T2;-21,8439
2020T1;-5,902
2019T4;-0,264
2019T3;3,5412
2019T2;-0,9027
2019T1;-0,1861
2018T4;0,0872
2018T3;-0,0088
2018T2;0,4546
2018T1;0,3326
2017T4;0,6904
2017T3;0,7736
2017T2;0,8451
2017T1;1,0555
2016T4;0,3029
2016T3;0,6966
2016T2;1,038
2016T1;0,4586
2015T4;0,2598
2015T3;1,1817
2015T2;0,5702
2015T1;0,897
2014T4;0,5894
2014T3;0,6383
2014T2;0,6727
2014T1;0,1086
2013T4;0,7925
2013T3;-0,0402
2013T2;0,2321
2013T1;-1,2467
2012T4;-1,1875
2012T3;-1,5685
2012T2;-1,543
2012T1;-0,0779
2011T4;-0,9123
2011T3;-0,4163
2011T2;-1,0164
2011T1;-0,9513
2010T4;0,1498
2010T3;-0,9641
2010T2;0,3308
2010T1;0,5723
2009T4;0,029
2009T3;0,4796
2009T2;-0,861
2009T1;-1,0226
2008T4;-1,627
2008T3;-1,4977
2008T2;-0,9261
2008T1;-0,0264
2007T4;0,9328
2007T3;0,6608
2007T2;0,8036
2007T1;0,7267
2006T4;0,9465
2006T3;0,9849
2006T2;1,034
2006T1;0,9864
2005T4;1,0141
2005T3;0,521
2005T2;1,8239
2005T1;0,626
2004T4;1,1713
2004T3;1,0254
2004T2;0,5179
2004T1;1,1063
2003T4;1,2611
2003T3;1,1183
2003T2;0,9236
2003T1;-0,3108
2002T4;1,0627
2002T3;0,4835
2002T2;0,6244
2002T1;0,7992
2001T4;0,5417
2001T3;1,2156
2001T2;1,0184
2001T1;1,4735
2000T4;0,6837
2000T3;0,7595
2000T2;-0,164
2000T1;1,3329
1999T4;1,9357
1999T3;1,3801
1999T2;1,8978
1999T1;-1,5225
1998T4;3,9173
1998T3;0,9312
1998T2;1,2976
1998T1;-1,5722
1997T4;4,3181
1997T3;0,7263
1997T2;0,0041
1997T1;0,4648
1996T4;0,216
1996T3;0,91
1996T2;1,2379
1996T1;0,0359
1995T4;0,8071
1995T3;0,2811
1995T2;0,9328
