model_type,n_layers,units,dropout,recurrent_dropout,activation,kernel_regularizer,bidirectional,optimizer,lr,batch_size,epochs,window_size,patience,fold,rmse,mae
gru,2,128,0.3,0.0,tanh,0.001,True,sgd,0.0001,32,200,4,20,1,19.55256565932644,19.54997565198625
gru,2,128,0.3,0.0,tanh,0.001,True,sgd,0.0001,32,200,4,20,2,18.32989417608133,18.291630709838863
gru,2,128,0.3,0.0,tanh,0.001,True,sgd,0.0001,32,200,4,20,3,14.349212849073483,14.32009899379185
gru,2,128,0.3,0.0,tanh,0.001,True,sgd,0.0001,32,200,4,20,4,16.008104902474187,15.990302105930876
gru,2,128,0.3,0.0,tanh,0.001,True,sgd,0.0001,32,200,4,20,5,16.669290538750808,14.956736277117049
rnn,2,64,0.1,0.2,relu,0.0,True,rmsprop,0.0001,64,50,8,20,1,8.700470225010685,8.368939776200513
rnn,2,64,0.1,0.2,relu,0.0,True,rmsprop,0.0001,64,50,8,20,2,7.684046834163097,6.457452996180607
rnn,2,64,0.1,0.2,relu,0.0,True,rmsprop,0.0001,64,50,8,20,3,2.892423375297977,2.3722543414666104
rnn,2,64,0.1,0.2,relu,0.0,True,rmsprop,0.0001,64,50,8,20,4,11.610499285383334,11.386577001659685
rnn,2,64,0.1,0.2,relu,0.0,True,rmsprop,0.0001,64,50,8,20,5,12.237081652299084,11.210478627542347
gru,1,32,0.3,0.1,relu,0.0,False,rmsprop,0.0001,64,200,4,10,1,19.65097918681864,19.6471362638201
gru,1,32,0.3,0.1,relu,0.0,False,rmsprop,0.0001,64,200,4,10,2,17.50801983197749,17.470735514831542
gru,1,32,0.3,0.1,relu,0.0,False,rmsprop,0.0001,64,200,4,10,3,11.569360721547753,11.416245475169587
gru,1,32,0.3,0.1,relu,0.0,False,rmsprop,0.0001,64,200,4,10,4,12.95556226243571,12.930756793321882
gru,1,32,0.3,0.1,relu,0.0,False,rmsprop,0.0001,64,200,4,10,5,10.753570359020255,9.54123459249224
gru,1,128,0.3,0.1,relu,0.0,False,rmsprop,0.001,16,200,4,5,1,0.8161742358604134,0.6576259915842538
gru,1,128,0.3,0.1,relu,0.0,False,rmsprop,0.001,16,200,4,5,2,0.9108192098303152,0.7466740886790413
gru,1,128,0.3,0.1,relu,0.0,False,rmsprop,0.001,16,200,4,5,3,3.0701055490141664,2.793218718576431
gru,1,128,0.3,0.1,relu,0.0,False,rmsprop,0.001,16,200,4,5,4,0.3620464768803557,0.3154057502201625
gru,1,128,0.3,0.1,relu,0.0,False,rmsprop,0.001,16,200,4,5,5,7.998067183089243,4.740916999207223
gru,2,32,0.3,0.0,tanh,0.0,False,sgd,0.0005,32,50,8,20,1,16.53478192877226,16.531705976046048
gru,2,32,0.3,0.0,tanh,0.0,False,sgd,0.0005,32,50,8,20,2,14.261557151766388,14.17083983295147
gru,2,32,0.3,0.0,tanh,0.0,False,sgd,0.0005,32,50,8,20,3,7.95378942178322,6.977637835986798
gru,2,32,0.3,0.0,tanh,0.0,False,sgd,0.0005,32,50,8,20,4,14.54755778549576,14.542704894667404
gru,2,32,0.3,0.0,tanh,0.0,False,sgd,0.0005,32,50,8,20,5,10.410377112766318,8.754985946926702
rnn,1,64,0.1,0.2,tanh,0.0001,True,sgd,0.0001,16,100,4,10,1,26.27877304991384,26.23288793356759
rnn,1,64,0.1,0.2,tanh,0.0001,True,sgd,0.0001,16,100,4,10,2,12.233675344482752,11.835149654551913
