PERIODO;VALOR
2024T2;0,8024
2024T1;0,833
2023T4;0,7148
2023T3;0,5067
2023T2;0,502
2023T1;0,4278
2022T4;0,4913
2022T3;0,5305
2022T2;2,4864
2022T1;0,26
2021T4;1,9888
2021T3;2,3187
2021T2;2,0936
2021T1;0,3981
2020T4;0,2411
2020T3;16,2437
2020T2;-17,6402
2020T1;-5,384
2019T4;0,2171
2019T3;0,2951
2019T2;0,3461
2019T1;0,6089
2018T4;0,6594
2018T3;0,5204
2018T2;0,5859
2018T1;0,427
2017T4;0,5393
2017T3;0,6296
2017T2;1,0242
2017T1;0,7852
2016T4;0,5441
2016T3;0,8565
2016T2;0,4149
2016T1;0,6802
2015T4;0,9731
2015T3;0,9058
2015T2;1,0788
2015T1;1,1476
2014T4;0,8592
2014T3;0,7343
2014T2;0,4711
2014T1;0,3675
2013T4;0,1661
2013T3;-0,0368
2013T2;-0,0882
2013T1;-0,3076
2012T4;-0,7408
2012T3;-0,5197
2012T2;-0,9584
2012T1;-0,9313
2011T4;-0,663
2011T3;-0,6458
2011T2;-0,3105
2011T1;-0,15
2010T4;0,0523
2010T3;-0,0486
2010T2;0,1562
2010T1;-0,0223
2009T4;-0,0349
2009T3;0,2136
2009T2;-0,0045
2009T1;-2,6003
2008T4;-1,6272
2008T3;-0,1827
2008T2;0,1154
2008T1;0,2214
2007T4;0,63
2007T3;0,7675
2007T2;0,9027
2007T1;0,9203
2006T4;0,9489
2006T3;0,9299
2006T2;0,9754
2006T1;1,1505
2005T4;1,0015
2005T3;0,9675
2005T2;0,8886
2005T1;0,9816
2004T4;0,6718
2004T3;0,9412
2004T2;0,9833
2004T1;0,6086
2003T4;0,8522
2003T3;0,66
2003T2;0,5271
2003T1;0,9365
2002T4;0,7484
2002T3;0,617
2002T2;0,8211
2002T1;0,4307
2001T4;0,6803
2001T3;0,9321
2001T2;0,7455
2001T1;1,0669
2000T4;1,0186
2000T3;1,0797
2000T2;1,2585
2000T1;1,6051
1999T4;1,1219
1999T3;1,3304
1999T2;1,1921
1999T1;1,0038
1998T4;1,086
1998T3;0,9459
1998T2;1,1339
1998T1;0,8815
1997T4;1,3664
1997T3;1,1907
1997T2;0,9131
1997T1;1,0204
1996T4;0,5212
1996T3;0,8582
1996T2;0,7441
1996T1;0,5965
1995T4;0,7473
1995T3;0,4052
1995T2;0,626
