PERIODO;VALOR
2024T4;-0,5
2024T3;1,5
2024T2;1,8
2024T1;3,9
2023T4;1,5
2023T3;5,6
2023T2;3,7
2023T1;1,1
2022T4;-0,3
2022T3;-7,3
2022T2;-5,3
2022T1;-9
2021T4;-4,9
2021T3;-1,7
2021T2;-12,2
2021T1;6,2
2020T4;7,4
2020T3;8,6
2020T2;13,5
2020T1;8,1
2019T4;1,8
2019T3;0,8
2019T2;4,2
2019T1;2,7
2018T4;0,6
2018T3;-0,1
2018T2;-0,8
2018T1;-0,4
2017T4;-0,3
2017T3;-1,5
2017T2;-1,1
2017T1;-3,4
2016T4;-0,7
2016T3;-1,7
2016T2;1
2016T1;0,3
2015T4;-1,4
2015T3;0,5
2015T2;2,4
2015T1;2,7
2014T4;1,9
2014T3;-1,7
2014T2;-3,3
2014T1;-3,5
2013T4;0,8
2013T3;-0,3
2013T2;2,9
2013T1;2
2012T4;-3,7
2012T3;-3,4
2012T2;-4,4
2012T1;-2,5
2011T4;0,9
2011T3;1,4
2011T2;1,1
2011T1;-1
2010T4;-2,1
2010T3;-3
2010T2;-2,5
2010T1;1,3
2009T4;0,3
2009T3;4,9
2009T2;5,3
2009T1;4,4
2008T4;5
2008T3;4
2008T2;1,1
2008T1;-2,3
2007T4;1,9
2007T3;-5,2
2007T2;-0,9
2007T1;-2,1
2006T4;-0,5
2006T3;-1,6
2006T2;-1,8
2006T1;-2,2
2005T4;-1,6
2005T3;0,3
2005T2;0,2
2005T1;-1,6
2004T4;-0,8
2004T3;-2,5
2004T2;-1,6
2004T1;-2
2003T4;1,1
2003T3;1,8
2003T2;0,3
2003T1;1,4
2002T4;0
2002T3;-3,6
2002T2;1,8
2002T1;0,7
2001T4;-0,3
2001T3;-1,5
2001T2;1,6
2001T1;-0,4
2000T4;0,2
2000T3;1,4
2000T2;0,8
2000T1;-0,5
1999T4;..
1999T3;..
1999T2;..
1999T1;..
